,강남11개구,강북14개구,수도권,전국,KOSPI,S&P 500
2011-02-01,53.292793953812,61.362246274283,66.4441869877,67.923754295642,1939.3,1327.219970703125
2011-03-01,53.377295052146,61.442185641507,66.642317668704,68.813736070071,2106.7,1325.8299560546875
2011-04-01,53.367314175828,61.46525109353,66.723196833665,69.640633672969,2192.36,1363.6099853515625
2011-05-01,53.292904550685,61.456229985771,66.699002695698,70.357540061144,2142.47,1345.199951171875
2011-06-01,53.211742766479,61.410296978484,66.665574864632,70.827339252135,2100.69,1320.6400146484375
2011-07-01,53.098258724025,61.34933698836,66.59412008825,71.222186317113,2133.21,1292.280029296875
2011-08-01,53.047697623028,61.271684440466,66.572154070543,71.72579562551,1880.11,1218.8900146484375
2011-09-01,52.987821777405,61.208347008485,66.568251108981,72.222278217201,1769.65,1131.4200439453125
2011-10-01,52.885089951328,61.178781141371,66.548429159557,72.600401768935,1909.03,1253.300048828125
2011-11-01,52.749148222302,61.125508904256,66.469400626983,73.005979901891,1847.51,1246.9599609375
2011-12-01,52.635836673452,61.068182916785,66.377210612704,73.166957838853,1825.74,1257.5999755859375
2012-01-01,52.51942922137,61.012405426505,66.255703847255,73.305719423809,1955.79,1312.4100341796875
